"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alpha.liquid","alpha.liquid_0","alpha.solid","dmdt.solidToLiquid","p","p_rgh","rho"
0.00069,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0007,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00071,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00072,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00073,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00074,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00075,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00076,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00077,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00078,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00079,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0008,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00081,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00082,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00083,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00084,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00085,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00086,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00087,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00088,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00089,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.0009,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00091,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00092,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00093,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00094,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00095,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00096,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00097,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00098,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.00099,0,1e-05,301.3,0,0,0,0,0,1,0,1e+05,1e+05,4680
0.001,0,1e-05,301.3,0,0,0,0,0,1,0,99994,99994,4680
0,7.6667e-06,1e-05,301.3,0,0,0,0,0,1,0,99977,99977,4680
1e-05,7.6667e-06,1e-05,305.32,2.9989e-07,0.0002949,0,0,0,1,0,99977,99977,4680
2e-05,7.6667e-06,1e-05,309.29,5.9506e-07,0.00029548,0,0,0,1,0,99977,99977,4680
3e-05,7.6667e-06,1e-05,313.17,8.8091e-07,0.00029644,0,0,0,1,0,99977,99977,4680
4e-05,7.6667e-06,1e-05,316.93,1.1531e-06,0.00029777,0,0,0,1,0,99977,99977,4680
5e-05,7.6667e-06,1e-05,320.55,1.4078e-06,0.00029943,0,0,0,1,0,99977,99977,4680
6e-05,7.6667e-06,1e-05,323.99,1.6415e-06,0.00030141,0,0,0,1,0,99976,99977,4680
7e-05,7.6667e-06,1e-05,327.25,1.8515e-06,0.00030368,0,0,0,1,0,99976,99976,4680
8e-05,7.6667e-06,1e-05,330.31,2.0354e-06,0.00030621,0,0,0,1,0,99976,99976,4680
9e-05,7.6667e-06,1e-05,333.16,2.1918e-06,0.00030895,-1.2557e-30,0,0,1,0,99976,99976,4680
0.0001,7.6667e-06,1e-05,335.79,2.3199e-06,0.00031188,-2.5236e-30,0,0,1,0,99976,99976,4680
0.00011,7.6667e-06,1e-05,338.22,2.4196e-06,0.00031496,-1.2679e-30,0,0,1,0,99975,99976,4680
0.00012,7.6667e-06,1e-05,340.44,2.4914e-06,0.00031814,0,0,0,1,0,99975,99975,4680
0.00013,7.6667e-06,1e-05,342.45,2.5362e-06,0.0003214,-1.2918e-30,0,0,1,0,99975,99975,4680
0.00014,7.6667e-06,1e-05,344.28,2.5558e-06,0.0003247,-2.597e-30,0,0,1,0,99975,99975,4680
0.00015,7.6667e-06,1e-05,345.93,2.5521e-06,0.00032801,-1.3051e-30,0,0,1,0,99974,99975,4680
0.00016,7.6667e-06,1e-05,347.42,2.5274e-06,0.0003313,0,0,0,1,0,99974,99974,4680
0.00017,7.6667e-06,1e-05,348.75,2.4841e-06,0.00033454,0,0,0,1,0,99974,99974,4680
0.00018,7.6667e-06,1e-05,349.93,2.4249e-06,0.00033772,-1.3727e-30,0,0,1,0,99974,99974,4680
0.00019,7.6667e-06,1e-05,350.99,2.3524e-06,0.00034081,-2.7577e-30,0,0,1,0,99973,99974,4680
0.0002,7.6667e-06,1e-05,351.93,2.2691e-06,0.0003438,-1.385e-30,0,0,1,0,99973,99973,4680
0.00021,7.6667e-06,1e-05,352.76,2.1775e-06,0.00034667,0,0,0,1,0,99973,99973,4680
0.00022,7.6667e-06,1e-05,353.49,2.0797e-06,0.00034942,-1.4028e-30,0,0,1,0,99973,99973,4680
0.00023,7.6667e-06,1e-05,354.14,1.9779e-06,0.00035203,-2.8159e-30,0,0,1,0,99972,99973,4680
0.00024,7.6667e-06,1e-05,354.72,1.8737e-06,0.00035452,-1.4131e-30,0,0,1,0,99972,99973,4680
0.00025,7.6667e-06,1e-05,355.22,1.7687e-06,0.00035687,0,0,0,1,0,99972,99972,4680
0.00026,7.6667e-06,1e-05,355.66,1.6641e-06,0.00035908,0,0,0,1,0,99972,99972,4680
0.00027,7.6667e-06,1e-05,356.05,1.5609e-06,0.00036116,1.4485e-30,0,0,1,0,99972,99972,4680
0.00028,7.6667e-06,1e-05,356.39,1.4598e-06,0.0003631,2.9044e-30,0,0,1,0,99972,99972,4680
0.00029,7.6667e-06,1e-05,356.69,1.3616e-06,0.00036492,1.456e-30,0,0,1,0,99971,99972,4680
0.0003,7.6667e-06,1e-05,356.96,1.2666e-06,0.00036661,0,0,0,1,0,99971,99972,4680
0.00031,7.6667e-06,1e-05,357.19,1.175e-06,0.00036818,0,0,0,1,0,99971,99971,4680
0.00032,7.6667e-06,1e-05,357.39,1.0872e-06,0.00036964,0,0,0,1,0,99971,99971,4680
0.00033,7.6667e-06,1e-05,357.56,1.0032e-06,0.00037098,0,0,0,1,0,99971,99971,4680
0.00034,7.6667e-06,1e-05,357.71,9.2288e-07,0.00037222,0,0,0,1,0,99971,99971,4680
0.00035,7.6667e-06,1e-05,357.85,8.4628e-07,0.00037336,0,0,0,1,0,99971,99971,4680
0.00036,7.6667e-06,1e-05,357.96,7.7325e-07,0.0003744,3.0161e-30,0,0,1,0,99971,99971,4680
0.00037,7.6667e-06,1e-05,358.06,7.0361e-07,0.00037535,6.0395e-30,0,0,1,0,99971,99971,4680
0.00038,7.6667e-06,1e-05,358.15,6.3717e-07,0.00037621,1.5172e-30,0,0,1,0,99971,99971,4680
0.00039,7.6667e-06,1e-05,358.23,5.737e-07,0.00037699,-3.0154e-30,0,0,1,0,99971,99971,4680
0.0004,7.6667e-06,1e-05,358.29,5.1296e-07,0.00037769,-1.5092e-30,0,0,1,0,99970,99971,4680
0.00041,7.6667e-06,1e-05,358.35,4.547e-07,0.00037831,0,0,0,1,0,99970,99971,4680
0.00042,7.6667e-06,1e-05,358.39,3.9866e-07,0.00037886,0,0,0,1,0,99970,99971,4680
0.00043,7.6667e-06,1e-05,358.43,3.4459e-07,0.00037934,-1.518e-30,0,0,1,0,99970,99971,4680
0.00044,7.6667e-06,1e-05,358.47,2.9223e-07,0.00037975,-3.0374e-30,0,0,1,0,99970,99971,4680
0.00045,7.6667e-06,1e-05,358.49,2.4132e-07,0.00038009,-1.5195e-30,0,0,1,0,99970,99971,4680
0.00046,7.6667e-06,1e-05,358.52,1.9162e-07,0.00038037,0,0,0,1,0,99970,99970,4680
0.00047,7.6667e-06,1e-05,358.53,1.4288e-07,0.00038059,0,0,0,1,0,99970,99970,4680
0.00048,7.6667e-06,1e-05,358.54,9.4859e-08,0.00038074,0,0,0,1,0,99970,99970,4680
0.00049,7.6667e-06,1e-05,358.55,4.7311e-08,0.00038083,0,0,0,1,0,99970,99970,4680
0.0005,7.6667e-06,1e-05,358.55,2.2626e-13,0.00038086,0,0,0,1,0,99970,99970,4680
0.00051,7.6667e-06,1e-05,358.55,-4.7311e-08,0.00038083,0,0,0,1,0,99970,99970,4680
0.00052,7.6667e-06,1e-05,358.54,-9.4859e-08,0.00038074,0,0,0,1,0,99970,99970,4680
0.00053,7.6667e-06,1e-05,358.53,-1.4288e-07,0.00038059,0,0,0,1,0,99970,99970,4680
0.00054,7.6667e-06,1e-05,358.52,-1.9162e-07,0.00038037,0,0,0,1,0,99970,99970,4680
0.00055,7.6667e-06,1e-05,358.49,-2.4132e-07,0.00038009,0,0,0,1,0,99970,99971,4680
0.00056,7.6667e-06,1e-05,358.47,-2.9223e-07,0.00037975,0,0,0,1,0,99970,99971,4680
0.00057,7.6667e-06,1e-05,358.43,-3.4459e-07,0.00037934,0,0,0,1,0,99970,99971,4680
0.00058,7.6667e-06,1e-05,358.39,-3.9866e-07,0.00037886,0,0,0,1,0,99970,99971,4680
0.00059,7.6667e-06,1e-05,358.35,-4.547e-07,0.00037831,0,0,0,1,0,99970,99971,4680
0.0006,7.6667e-06,1e-05,358.29,-5.1296e-07,0.00037769,1.5092e-30,0,0,1,0,99970,99971,4680
0.00061,7.6667e-06,1e-05,358.23,-5.737e-07,0.00037699,3.0154e-30,0,0,1,0,99971,99971,4680
0.00062,7.6667e-06,1e-05,358.15,-6.3717e-07,0.00037621,-1.5172e-30,0,0,1,0,99971,99971,4680
0.00063,7.6667e-06,1e-05,358.06,-7.0361e-07,0.00037535,-6.0395e-30,0,0,1,0,99971,99971,4680
0.00064,7.6667e-06,1e-05,357.96,-7.7325e-07,0.0003744,-3.0161e-30,0,0,1,0,99971,99971,4680
0.00065,7.6667e-06,1e-05,357.85,-8.4628e-07,0.00037336,0,0,0,1,0,99971,99971,4680
0.00066,7.6667e-06,1e-05,357.71,-9.2288e-07,0.00037222,-2.9898e-30,0,0,1,0,99971,99971,4680
0.00067,7.6667e-06,1e-05,357.56,-1.0032e-06,0.00037098,-7.4676e-30,0,0,1,0,99971,99971,4680
0.00068,7.6667e-06,1e-05,357.39,-1.0872e-06,0.00036964,-5.9704e-30,0,0,1,0,99971,99971,4680
0.00069,7.6667e-06,1e-05,357.19,-1.175e-06,0.00036818,-1.4927e-30,0,0,1,0,99971,99971,4680
0.0007,7.6667e-06,1e-05,356.96,-1.2666e-06,0.00036661,0,0,0,1,0,99971,99972,4680
0.00071,7.6667e-06,1e-05,356.69,-1.3616e-06,0.00036492,0,0,0,1,0,99971,99972,4680
0.00072,7.6667e-06,1e-05,356.39,-1.4598e-06,0.0003631,0,0,0,1,0,99972,99972,4680
0.00073,7.6667e-06,1e-05,356.05,-1.5609e-06,0.00036116,0,0,0,1,0,99972,99972,4680
0.00074,7.6667e-06,1e-05,355.66,-1.6641e-06,0.00035908,0,0,0,1,0,99972,99972,4680
0.00075,7.6667e-06,1e-05,355.22,-1.7687e-06,0.00035687,0,0,0,1,0,99972,99972,4680
0.00076,7.6667e-06,1e-05,354.72,-1.8737e-06,0.00035452,0,0,0,1,0,99972,99973,4680
0.00077,7.6667e-06,1e-05,354.14,-1.9779e-06,0.00035203,0,0,0,1,0,99972,99973,4680
0.00078,7.6667e-06,1e-05,353.49,-2.0797e-06,0.00034942,0,0,0,1,0,99973,99973,4680
0.00079,7.6667e-06,1e-05,352.76,-2.1775e-06,0.00034667,0,0,0,1,0,99973,99973,4680
0.0008,7.6667e-06,1e-05,351.93,-2.2691e-06,0.0003438,1.385e-30,0,0,1,0,99973,99973,4680
0.00081,7.6667e-06,1e-05,350.99,-2.3524e-06,0.00034081,2.7577e-30,0,0,1,0,99973,99974,4680
0.00082,7.6667e-06,1e-05,349.93,-2.4249e-06,0.00033772,1.3727e-30,0,0,1,0,99974,99974,4680
0.00083,7.6667e-06,1e-05,348.75,-2.4841e-06,0.00033454,0,0,0,1,0,99974,99974,4680
0.00084,7.6667e-06,1e-05,347.42,-2.5274e-06,0.0003313,0,0,0,1,0,99974,99974,4680
0.00085,7.6667e-06,1e-05,345.93,-2.5521e-06,0.00032801,1.3051e-30,0,0,1,0,99974,99975,4680
0.00086,7.6667e-06,1e-05,344.28,-2.5558e-06,0.0003247,2.597e-30,0,0,1,0,99975,99975,4680
0.00087,7.6667e-06,1e-05,342.45,-2.5362e-06,0.0003214,1.2918e-30,0,0,1,0,99975,99975,4680
0.00088,7.6667e-06,1e-05,340.44,-2.4914e-06,0.00031814,0,0,0,1,0,99975,99975,4680
0.00089,7.6667e-06,1e-05,338.22,-2.4196e-06,0.00031496,0,0,0,1,0,99975,99976,4680
0.0009,7.6667e-06,1e-05,335.79,-2.3199e-06,0.00031188,0,0,0,1,0,99976,99976,4680
0.00091,7.6667e-06,1e-05,333.16,-2.1918e-06,0.00030895,0,0,0,1,0,99976,99976,4680
0.00092,7.6667e-06,1e-05,330.31,-2.0354e-06,0.00030621,0,0,0,1,0,99976,99976,4680
0.00093,7.6667e-06,1e-05,327.25,-1.8515e-06,0.00030368,0,0,0,1,0,99976,99976,4680
0.00094,7.6667e-06,1e-05,323.99,-1.6415e-06,0.00030141,0,0,0,1,0,99976,99977,4680
0.00095,7.6667e-06,1e-05,320.55,-1.4078e-06,0.00029943,0,0,0,1,0,99977,99977,4680
0.00096,7.6667e-06,1e-05,316.93,-1.1531e-06,0.00029777,0,0,0,1,0,99977,99977,4680
0.00097,7.6667e-06,1e-05,313.17,-8.8091e-07,0.00029644,0,0,0,1,0,99977,99977,4680
0.00098,7.6667e-06,1e-05,309.29,-5.9506e-07,0.00029548,2.3735e-30,0,0,1,0,99977,99977,4680
0.00099,7.6667e-06,1e-05,305.32,-2.9989e-07,0.0002949,4.7439e-30,0,0,1,0,99977,99977,4680
0.001,7.6667e-06,1e-05,301.3,0,0,0,0,0,1,0,99977,99977,4680
0,1.5333e-05,1e-05,301.3,0,0,0,0,0,1,0,99955,99955,4680
1e-05,1.5333e-05,1e-05,309.35,5.9572e-07,0.00029115,0,0,0,1,0,99955,99955,4680
2e-05,1.5333e-05,1e-05,317.27,1.182e-06,0.00029173,0,0,0,1,0,99954,99955,4680
3e-05,1.5333e-05,1e-05,325,1.7497e-06,0.00029269,0,0,0,1,0,99954,99955,4680
4e-05,1.5333e-05,1e-05,332.47,2.2903e-06,0.00029402,0,0,0,1,0,99954,99954,4680
5e-05,1.5333e-05,1e-05,339.63,2.7958e-06,0.00029569,0,0,0,1,0,99954,99954,4680
6e-05,1.5333e-05,1e-05,346.44,3.2596e-06,0.00029767,0,0,0,1,0,99954,99954,4680
7e-05,1.5333e-05,1e-05,352.85,3.6759e-06,0.00029994,0,0,0,1,0,99953,99953,4680
8e-05,1.5333e-05,1e-05,358.86,4.0405e-06,0.00030247,-1.2286e-30,0,0,1,0,99953,99953,4680
9e-05,1.5333e-05,1e-05,364.44,4.3502e-06,0.00030522,-3.0893e-30,0,0,1,0,99952,99953,4680
0.0001,1.5333e-05,1e-05,369.6,4.6037e-06,0.00030815,-2.4873e-30,0,0,1,0,99952,99952,4680
0.00011,1.5333e-05,1e-05,374.33,4.8004e-06,0.00031122,6.3871e-31,0,0,1,0,99951,99952,4680
0.00012,1.5333e-05,1e-05,378.66,4.9417e-06,0.0003144,2.5436e-30,0,0,1,0,99951,99951,4680
0.00013,1.5333e-05,1e-05,382.59,5.0295e-06,0.00031765,-1.3052e-30,0,0,1,0,99950,99951,4680
0.00014,1.5333e-05,1e-05,386.14,5.067e-06,0.00032094,-5.1939e-30,0,0,1,0,99950,99950,4680
0.00015,1.5333e-05,1e-05,389.34,5.0583e-06,0.00032424,-2.6103e-30,0,0,1,0,99949,99950,4680
0.00016,1.5333e-05,1e-05,392.21,5.0079e-06,0.00032751,0,0,0,1,0,99949,99949,4680
0.00017,1.5333e-05,1e-05,394.78,4.9209e-06,0.00033074,0,0,0,1,0,99948,99949,4680
0.00018,1.5333e-05,1e-05,397.07,4.8023e-06,0.00033389,-6.7847e-31,0,0,1,0,99948,99948,4680
0.00019,1.5333e-05,1e-05,399.11,4.6574e-06,0.00033696,-1.363e-30,0,0,1,0,99948,99948,4680
0.0002,1.5333e-05,1e-05,400.92,4.4913e-06,0.00033992,-6.8456e-31,0,0,1,0,99947,99947,4680
0.00021,1.5333e-05,1e-05,402.53,4.3088e-06,0.00034277,0,0,0,1,0,99947,99947,4680
0.00022,1.5333e-05,1e-05,403.94,4.1143e-06,0.00034549,-2.8063e-30,0,0,1,0,99946,99946,4680
0.00023,1.5333e-05,1e-05,405.19,3.9119e-06,0.00034808,-5.6331e-30,0,0,1,0,99946,99946,4680
0.00024,1.5333e-05,1e-05,406.29,3.7051e-06,0.00035054,-2.8268e-30,0,0,1,0,99945,99946,4680
0.00025,1.5333e-05,1e-05,407.26,3.4967e-06,0.00035286,0,0,0,1,0,99945,99945,4680
0.00026,1.5333e-05,1e-05,408.12,3.2893e-06,0.00035505,0,0,0,1,0,99945,99945,4680
0.00027,1.5333e-05,1e-05,408.86,3.0847e-06,0.0003571,2.8975e-30,0,0,1,0,99944,99945,4680
0.00028,1.5333e-05,1e-05,409.52,2.8846e-06,0.00035902,5.8101e-30,0,0,1,0,99944,99944,4680
0.00029,1.5333e-05,1e-05,410.1,2.6901e-06,0.00036081,2.9125e-30,0,0,1,0,99944,99944,4680
0.0003,1.5333e-05,1e-05,410.6,2.5021e-06,0.00036248,-2.9401e-30,0,0,1,0,99944,99944,4680
0.00031,1.5333e-05,1e-05,411.04,2.321e-06,0.00036403,-8.8444e-30,0,0,1,0,99943,99944,4680
0.00032,1.5333e-05,1e-05,411.43,2.1473e-06,0.00036546,-8.8676e-30,0,0,1,0,99943,99943,4680
0.00033,1.5333e-05,1e-05,411.76,1.9812e-06,0.00036679,-2.9633e-30,0,0,1,0,99943,99943,4680
0.00034,1.5333e-05,1e-05,412.06,1.8225e-06,0.00036801,0,0,0,1,0,99943,99943,4680
0.00035,1.5333e-05,1e-05,412.31,1.6711e-06,0.00036913,-2.9916e-30,0,0,1,0,99943,99943,4680
0.00036,1.5333e-05,1e-05,412.53,1.5268e-06,0.00037015,-2.2424e-30,0,0,1,0,99942,99943,4680
0.00037,1.5333e-05,1e-05,412.73,1.3892e-06,0.00037109,4.507e-30,0,0,1,0,99942,99942,4680
0.00038,1.5333e-05,1e-05,412.89,1.258e-06,0.00037194,7.4495e-31,0,0,1,0,99942,99942,4680
0.00039,1.5333e-05,1e-05,413.04,1.1327e-06,0.0003727,-6.0316e-30,0,0,1,0,99942,99942,4680
0.0004,1.5333e-05,1e-05,413.16,1.0127e-06,0.00037339,-3.0187e-30,0,0,1,0,99942,99942,4680
0.00041,1.5333e-05,1e-05,413.27,8.9768e-07,0.000374,0,0,0,1,0,99942,99942,4680
0.00042,1.5333e-05,1e-05,413.36,7.8704e-07,0.00037454,0,0,0,1,0,99942,99942,4680
0.00043,1.5333e-05,1e-05,413.44,6.8028e-07,0.00037501,3.25e-34,0,0,1,0,99942,99942,4680
0.00044,1.5333e-05,1e-05,413.5,5.7691e-07,0.00037542,6.4107e-34,0,0,1,0,99942,99942,4680
0.00045,1.5333e-05,1e-05,413.55,4.7641e-07,0.00037576,3.1607e-34,0,0,1,0,99941,99942,4680
0.00046,1.5333e-05,1e-05,413.59,3.7829e-07,0.00037603,1.522e-30,0,0,1,0,99941,99942,4680
0.00047,1.5333e-05,1e-05,413.62,2.8207e-07,0.00037624,3.0447e-30,0,0,1,0,99941,99942,4680
0.00048,1.5333e-05,1e-05,413.65,1.8727e-07,0.00037639,1.5227e-30,0,0,1,0,99941,99942,4680
0.00049,1.5333e-05,1e-05,413.66,9.3399e-08,0.00037648,0,0,0,1,0,99941,99942,4680
0.0005,1.5333e-05,1e-05,413.66,4.2277e-13,0.00037651,0,0,0,1,0,99941,99942,4680
0.00051,1.5333e-05,1e-05,413.66,-9.3398e-08,0.00037648,0,0,0,1,0,99941,99942,4680
0.00052,1.5333e-05,1e-05,413.65,-1.8727e-07,0.00037639,0,0,0,1,0,99941,99942,4680
0.00053,1.5333e-05,1e-05,413.62,-2.8207e-07,0.00037624,0,0,0,1,0,99941,99942,4680
0.00054,1.5333e-05,1e-05,413.59,-3.7829e-07,0.00037603,0,0,0,1,0,99941,99942,4680
0.00055,1.5333e-05,1e-05,413.55,-4.7641e-07,0.00037576,0,0,0,1,0,99941,99942,4680
0.00056,1.5333e-05,1e-05,413.5,-5.7691e-07,0.00037542,0,0,0,1,0,99942,99942,4680
0.00057,1.5333e-05,1e-05,413.44,-6.8028e-07,0.00037501,0,0,0,1,0,99942,99942,4680
0.00058,1.5333e-05,1e-05,413.36,-7.8704e-07,0.00037454,0,0,0,1,0,99942,99942,4680
0.00059,1.5333e-05,1e-05,413.27,-8.9768e-07,0.000374,0,0,0,1,0,99942,99942,4680
0.0006,1.5333e-05,1e-05,413.16,-1.0127e-06,0.00037339,3.0187e-30,0,0,1,0,99942,99942,4680
0.00061,1.5333e-05,1e-05,413.04,-1.1327e-06,0.0003727,6.0316e-30,0,0,1,0,99942,99942,4680
0.00062,1.5333e-05,1e-05,412.89,-1.258e-06,0.00037194,-7.4495e-31,0,0,1,0,99942,99942,4680
0.00063,1.5333e-05,1e-05,412.73,-1.3892e-06,0.00037109,-4.507e-30,0,0,1,0,99942,99942,4680
0.00064,1.5333e-05,1e-05,412.53,-1.5268e-06,0.00037015,2.2424e-30,0,0,1,0,99942,99943,4680
0.00065,1.5333e-05,1e-05,412.31,-1.6711e-06,0.00036913,5.9746e-30,0,0,1,0,99943,99943,4680
0.00066,1.5333e-05,1e-05,412.06,-1.8225e-06,0.00036801,2.2403e-30,0,0,1,0,99943,99943,4680
0.00067,1.5333e-05,1e-05,411.76,-1.9812e-06,0.00036679,-5.1865e-30,0,0,1,0,99943,99943,4680
0.00068,1.5333e-05,1e-05,411.43,-2.1473e-06,0.00036546,-2.2295e-30,0,0,1,0,99943,99943,4680
0.00069,1.5333e-05,1e-05,411.04,-2.321e-06,0.00036403,5.1545e-30,0,0,1,0,99943,99944,4680
0.0007,1.5333e-05,1e-05,410.6,-2.5021e-06,0.00036248,2.9401e-30,0,0,1,0,99944,99944,4680
0.00071,1.5333e-05,1e-05,410.1,-2.6901e-06,0.00036081,0,0,0,1,0,99944,99944,4680
0.00072,1.5333e-05,1e-05,409.52,-2.8846e-06,0.00035902,0,0,0,1,0,99944,99944,4680
0.00073,1.5333e-05,1e-05,408.86,-3.0847e-06,0.0003571,-2.8821e-30,0,0,1,0,99944,99945,4680
0.00074,1.5333e-05,1e-05,408.12,-3.2893e-06,0.00035505,-5.7471e-30,0,0,1,0,99945,99945,4680
0.00075,1.5333e-05,1e-05,407.26,-3.4967e-06,0.00035286,-2.865e-30,0,0,1,0,99945,99945,4680
0.00076,1.5333e-05,1e-05,406.29,-3.7051e-06,0.00035054,0,0,0,1,0,99945,99946,4680
0.00077,1.5333e-05,1e-05,405.19,-3.9119e-06,0.00034808,0,0,0,1,0,99946,99946,4680
0.00078,1.5333e-05,1e-05,403.94,-4.1143e-06,0.00034549,0,0,0,1,0,99946,99946,4680
0.00079,1.5333e-05,1e-05,402.53,-4.3088e-06,0.00034277,0,0,0,1,0,99947,99947,4680
0.0008,1.5333e-05,1e-05,400.92,-4.4913e-06,0.00033992,6.8456e-31,0,0,1,0,99947,99947,4680
0.00081,1.5333e-05,1e-05,399.11,-4.6574e-06,0.00033696,2.7204e-30,0,0,1,0,99948,99948,4680
0.00082,1.5333e-05,1e-05,397.07,-4.8023e-06,0.00033389,3.3806e-30,0,0,1,0,99948,99948,4680
0.00083,1.5333e-05,1e-05,394.78,-4.9209e-06,0.00033074,1.3448e-30,0,0,1,0,99948,99949,4680
0.00084,1.5333e-05,1e-05,392.21,-5.0079e-06,0.00032751,0,0,0,1,0,99949,99949,4680
0.00085,1.5333e-05,1e-05,389.34,-5.0583e-06,0.00032424,2.6103e-30,0,0,1,0,99949,99950,4680
0.00086,1.5333e-05,1e-05,386.14,-5.067e-06,0.00032094,5.1939e-30,0,0,1,0,99950,99950,4680
0.00087,1.5333e-05,1e-05,382.59,-5.0295e-06,0.00031765,1.3052e-30,0,0,1,0,99950,99951,4680
0.00088,1.5333e-05,1e-05,378.66,-4.9416e-06,0.0003144,-2.5436e-30,0,0,1,0,99951,99951,4680
0.00089,1.5333e-05,1e-05,374.33,-4.8004e-06,0.00031122,-1.2653e-30,0,0,1,0,99951,99952,4680
0.0009,1.5333e-05,1e-05,369.6,-4.6037e-06,0.00030815,0,0,0,1,0,99952,99952,4680
0.00091,1.5333e-05,1e-05,364.44,-4.3502e-06,0.00030522,0,0,0,1,0,99952,99953,4680
0.00092,1.5333e-05,1e-05,358.86,-4.0405e-06,0.00030247,0,0,0,1,0,99953,99953,4680
0.00093,1.5333e-05,1e-05,352.85,-3.6759e-06,0.00029994,0,0,0,1,0,99953,99953,4680
0.00094,1.5333e-05,1e-05,346.44,-3.2596e-06,0.00029767,-2.3986e-30,0,0,1,0,99954,99954,4680
0.00095,1.5333e-05,1e-05,339.63,-2.7958e-06,0.00029569,-3.5904e-30,0,0,1,0,99954,99954,4680
0.00096,1.5333e-05,1e-05,332.47,-2.2903e-06,0.00029402,-6.1334e-33,0,0,1,0,99954,99954,4680
0.00097,1.5333e-05,1e-05,325,-1.7497e-06,0.00029269,1.1857e-30,0,0,1,0,99954,99955,4680
0.00098,1.5333e-05,1e-05,317.27,-1.182e-06,0.00029173,2.9473e-30,0,0,1,0,99954,99955,4680
0.00099,1.5333e-05,1e-05,309.35,-5.9572e-07,0.00029115,5.8906e-30,0,0,1,0,99955,99955,4680
0.001,1.5333e-05,1e-05,301.3,0,0,0,0,0,1,0,99955,99955,4680
0,2.3e-05,1e-05,301.3,0,0,0,0,0,1,0,99932,99933,4680
1e-05,2.3e-05,1e-05,313.41,8.9709e-07,0.00029058,0,0,0,1,0,99932,99932,4680
2e-05,2.3e-05,1e-05,325.3,1.7799e-06,0.00029118,0,0,0,1,0,99932,99932,4680
3e-05,2.3e-05,1e-05,336.86,2.6345e-06,0.00029216,0,0,0,1,0,99932,99932,4680
4e-05,2.3e-05,1e-05,348,3.448e-06,0.00029352,0,0,0,1,0,99932,99932,4680
5e-05,2.3e-05,1e-05,358.65,4.2084e-06,0.00029522,0,0,0,1,0,99931,99931,4680
6e-05,2.3e-05,1e-05,368.75,4.9056e-06,0.00029725,0,0,0,1,0,99931,99931,4680
7e-05,2.3e-05,1e-05,378.24,5.5309e-06,0.00029957,0,0,0,1,0,99930,99930,4680
8e-05,2.3e-05,1e-05,387.1,6.0778e-06,0.00030215,-2.4558e-30,0,0,1,0,99930,99930,4680
9e-05,2.3e-05,1e-05,395.32,6.5418e-06,0.00030495,-7.4131e-30,0,0,1,0,99929,99929,4680
0.0001,2.3e-05,1e-05,402.89,6.9206e-06,0.00030793,-7.4605e-30,0,0,1,0,99928,99929,4680
0.00011,2.3e-05,1e-05,409.82,7.2139e-06,0.00031106,2.6718e-32,0,0,1,0,99928,99928,4680
0.00012,2.3e-05,1e-05,416.15,7.4233e-06,0.00031429,5.0863e-30,0,0,1,0,99927,99927,4680
